dato,region,Ordinær skatt på utvinning av petroleum,Særskatt på utvinning av petroleum
2008-08,23 Kontinentalsokkelen,53958.1,90207.7
2008-09,23 Kontinentalsokkelen,53959.6,90210.3
2008-10,23 Kontinentalsokkelen,73026.6,122635.1
2008-11,23 Kontinentalsokkelen,72999.5,122588.9
2008-12,23 Kontinentalsokkelen,88715.1,150693.1
2009-01,23 Kontinentalsokkelen,5.9,10.0
2009-02,23 Kontinentalsokkelen,13021.4,22140.6
2009-03,23 Kontinentalsokkelen,13025.7,22174.8
2009-04,23 Kontinentalsokkelen,25950.5,44153.6
2009-05,23 Kontinentalsokkelen,25866.0,44070.5
2009-06,23 Kontinentalsokkelen,37013.6,63187.9
2009-07,23 Kontinentalsokkelen,35753.7,61344.6
2009-08,23 Kontinentalsokkelen,45715.3,77366.9
2009-09,23 Kontinentalsokkelen,44743.6,76094.8
2009-10,23 Kontinentalsokkelen,54455.7,91871.1
2009-11,23 Kontinentalsokkelen,54162.6,92192.2
2009-12,23 Kontinentalsokkelen,61500.6,103733.3
2010-01,23 Kontinentalsokkelen,12.7,20.4
2010-02,23 Kontinentalsokkelen,8160.9,13125.8
2010-03,23 Kontinentalsokkelen,8155.6,13120.2
2010-04,23 Kontinentalsokkelen,17467.8,28098.2
2010-05,23 Kontinentalsokkelen,17440.6,28054.3
2010-06,23 Kontinentalsokkelen,25594.2,41168.5
2010-07,23 Kontinentalsokkelen,25829.9,41563.7
2010-08,23 Kontinentalsokkelen,37023.8,59916.9
2010-09,23 Kontinentalsokkelen,37059.8,59976.5
2010-10,23 Kontinentalsokkelen,48252.9,78328.4
2010-11,23 Kontinentalsokkelen,48274.7,78364.0
2010-12,23 Kontinentalsokkelen,59249.2,96360.1
2011-01,23 Kontinentalsokkelen,21.7,35.6
2011-02,23 Kontinentalsokkelen,10909.8,17887.6
2011-03,23 Kontinentalsokkelen,11009.4,18057.9
2011-04,23 Kontinentalsokkelen,22201.1,36413.6
2011-05,23 Kontinentalsokkelen,22201.1,36413.6
2011-06,23 Kontinentalsokkelen,33108.3,54296.7
2011-07,23 Kontinentalsokkelen,33020.2,54153.5
2011-08,23 Kontinentalsokkelen,48052.1,78780.1
2011-09,23 Kontinentalsokkelen,48811.4,80023.8
2011-10,23 Kontinentalsokkelen,63389.2,103901.8
2011-11,23 Kontinentalsokkelen,63595.1,103695.9
2011-12,23 Kontinentalsokkelen,78243.3,127693.3
2012-01,23 Kontinentalsokkelen,28.5,46.7
2012-02,23 Kontinentalsokkelen,13922.7,22817.9
2012-03,23 Kontinentalsokkelen,14153.7,23196.3
2012-04,23 Kontinentalsokkelen,27712.7,45406.0
2012-05,23 Kontinentalsokkelen,27732.7,45438.6
2012-06,23 Kontinentalsokkelen,41450.6,67916.5
2012-07,23 Kontinentalsokkelen,41692.5,68322.8
2012-08,23 Kontinentalsokkelen,56641.5,93430.0
2012-09,23 Kontinentalsokkelen,56631.8,93404.2
2012-10,23 Kontinentalsokkelen,71951.6,119134.5
2012-11,23 Kontinentalsokkelen,71964.8,119588.3
2012-12,23 Kontinentalsokkelen,85803.0,142867.9
2013-01,23 Kontinentalsokkelen,23.9,40.1
2013-02,23 Kontinentalsokkelen,13248.0,22250.5
2013-03,23 Kontinentalsokkelen,13272.4,22292.0
2013-04,23 Kontinentalsokkelen,31395.6,52730.2
2013-05,23 Kontinentalsokkelen,31325.8,52607.2
2013-06,23 Kontinentalsokkelen,44391.2,74550.9
2013-07,23 Kontinentalsokkelen,44517.5,74755.1
2013-08,23 Kontinentalsokkelen,56325.1,93833.1
2013-09,23 Kontinentalsokkelen,56321.3,93828.8
2013-10,23 Kontinentalsokkelen,68647.7,113745.0
