dato,Skatter på utvinning av petroleum,Avgifter på utvinning av petroleum,Netto kontantstrøm fra SDØE,Utbytte fra Equinor,Statens netto kontantstrøm fra petroleumsvirksomhet
1991K4,21761,10333,5879,1500,39472
1992K1,21598,10052,4973,1500,38122
1992K2,18082,10798,5916,0,34795
1992K3,17832,10493,5327,1400,35052
1992K4,14824,10660,3621,1400,30505
1993K1,14841,10690,2711,1400,29642
1993K2,17324,10724,1947,2650,32645
1993K3,17331,10740,1414,1250,30734
1993K4,15940,10676,158,1250,28023
1994K1,15905,10368,-847,1250,26675
1994K2,14899,10109,-1718,1075,24364
1994K3,14897,9984,-1632,1075,24324
1994K4,15205,9291,4,1075,25575
1995K1,15345,9701,3319,1075,29440
1995K2,16857,9436,5878,1614,33785
1995K3,16829,9320,6451,1614,34214
1995K4,18642,8995,9259,1614,38510
1996K1,18275,9003,12600,1614,41492
1996K2,20321,9031,18646,1850,49848
1996K3,20349,9325,27236,1850,58760
1996K4,22830,10249,34959,1850,69887
1997K1,22909,9799,42406,1850,76963
1997K2,31786,9928,43946,1600,87258
1997K3,31718,10217,42446,1600,85979
1997K4,35018,9881,40309,1600,86807
1998K1,35178,9956,34674,1600,81406
1998K2,28859,9322,28921,2940,70041
1998K3,29021,8118,22481,2940,62559
1998K4,20090,7512,14500,2940,45041
1999K1,20178,6612,7125,2940,36855
1999K2,10433,6561,5636,135,22765
1999K3,10383,6783,14157,135,31458
1999K4,11691,7045,25750,135,44621
2000K1,11516,7708,48871,135,68230
2000K2,21135,7730,68051,1702,98618
2000K3,21473,7652,82831,1702,113658
2000K4,52801,8654,98216,1702,161373
2001K1,52937,8489,103634,1702,166762
2001K2,87014,8024,147687,5734,248459
2001K3,86617,7837,136258,5734,236446
2001K4,105781,6325,125383,5746,243235
2002K1,105368,5629,114378,5746,231121
2002K2,103776,5408,72107,5057,186348
2002K3,104023,5244,77177,5057,191500
2002K4,84923,4779,74487,5045,169233
2003K1,85628,4655,76658,5045,171985
2003K2,86610,4569,68042,5133,164353
2003K3,86573,4236,66343,5133,162285
2003K4,98155,3225,67149,5133,173662
2004K1,98378,2748,66866,5133,173125
2004K2,103093,2825,69392,5222,180532
2004K3,103054,2438,72805,5222,183519
2004K4,114095,4047,80041,5222,203405
2005K1,113568,4477,82916,5222,206183
2005K2,132518,4390,90150,8139,235197
2005K3,132758,4811,94725,8139,240433
2005K4,164881,3936,98588,8139,275544
2006K1,165657,4237,112721,8139,290754
2006K2,185832,4159,117599,12593,320183
2006K3,186541,4082,123575,12593,326791
2006K4,211507,5754,125523,12593,355377
2007K1,209435,5506,118764,12593,346298
2007K2,215717,4986,114974,14006,349683
2007K3,214337,5208,110637,14006,344188
2007K4,186514,4639,111230,14006,316389
2008K1,187758,5047,120944,14006,327754
2008K2,187558,6450,134153,16940,345100
2008K3,236136,6151,146037,16940,405263
2008K4,239641,5527,153758,16940,415865
2009K1,274845,4617,147352,16940,443753
2009K2,243890,3614,129475,15489,392467
2009K3,216224,3331,111912,15489,346955
2009K4,165234,3733,95339,15489,279794
2010K1,151309,3609,93672,15489,264079
2010K2,131795,3567,96389,12818,244569
2010K3,141431,3439,98581,12818,256269
2010K4,155609,3559,103971,12818,275957
2011K1,163400,3606,106735,12818,286559
2011K2,176251,3596,115748,13352,308947
2011K3,187408,3628,122653,13352,327041
2011K4,205936,3742,127773,13352,350803
2012K1,214219,3782,137821,13352,369174
2012K2,227898,3721,145371,13887,390877
2012K3,227137,3741,146727,13887,391492
2012K4,228671,4036,148889,13887,395483
2013K1,226886,3953,140962,13887,385687
2013K2,238247,4111,131562,14421,388340
2013K3,228786,4261,130430,14421,377897
2013K4,201505,4932,124294,14421,345151
2014K1,196832,5033,126370,14421,342656
2014K2,177080,6033,120067,14955,318135
2014K3,173592,6051,109455,18800,307898
2014K4,170049,6115,112857,22646,311667
2015K1,162244,6223,104790,26492,299748
2015K2,144985,6333,102422,15383,269121
2015K3,134684,6218,100687,15384,256970
2015K4,103674,6485,92718,15384,218258
2016K1,91874,6510,84712,15583,198677
2016K2,68300,6515,77850,14004,166668
2016K3,59581,6611,73408,12387,151988
2016K4,41093,6512,66455,10718,124779
2017K1,39008,6409,70432,6673,122522
2017K2,32886,6470,76873,6424,122653
2017K3,39560,6519,81216,8477,135771
2017K4,65049,6128,88272,8398,167846
2018K1,70823,6595,93758,10516,181692
2018K2,84683,6540,94753,12653,198629
2018K3,95649,6337,107096,12691,221773
2018K4,110314,6974,118687,14984,250959
2019K1,117103,6284,119910,17300,260597
2019K2,127455,6683,122704,18233,275075
2019K3,123754,6746,111457,19135,261093
2019K4,133501,6877,96479,20057,256915
2020K1,128022,6900,88747,21034,244704
2020K2,119443,6890,69342,22035,217711
2020K3,87310,6801,61475,18560,174146
2020K4,28388,7020,56386,15030,106824
2021K1,9153,7181,56205,11647,84187
2021K2,-26742,6654,77032,7721,64666
2021K3,1791,6653,110827,8879,128151
2021K4,85711,6137,185169,10495,287513
2022K1,159626,6049,273613,11947,451235
2022K2,298091,6625,367571,18310,690597
2022K3,507245,6668,490433,23609,1027956
2022K4,713621,7309,529034,35258,1285223
2023K1,770560,7508,533486,50960,1362515
2023K2,889236,8293,472827,62806,1433164
2023K3,732869,8647,344756,73534,1159807
