dato,Skatter på utvinning av petroleum,Avgifter på utvinning av petroleum,Netto kontantstrøm fra SDØE,Utbytte fra Statoil,Statens netto kontantstrøm fra petroleumsvirksomhet
1991K4,36.2,17.3,9.8,2.5,65.8
1992K1,36.0,16.7,8.3,2.5,63.4
1992K2,29.9,17.8,9.8,0.0,57.5
1992K3,29.5,17.3,8.8,2.3,57.8
1992K4,24.1,17.4,5.9,2.3,49.7
1993K1,24.1,17.4,4.4,2.3,48.2
1993K2,27.9,17.3,3.1,4.3,52.6
1993K3,27.9,17.3,2.3,2.0,49.4
1993K4,25.4,17.0,0.3,2.0,44.7
1994K1,25.3,16.5,-1.3,2.0,42.5
1994K2,23.6,16.1,-2.7,1.7,38.6
1994K3,23.6,15.8,-2.6,1.7,38.5
1994K4,23.9,14.6,-0.0,1.7,40.2
1995K1,24.1,15.2,5.2,1.7,46.2
1995K2,26.2,14.7,9.1,2.5,52.4
1995K3,26.1,14.4,10.0,2.5,53.0
1995K4,28.6,13.8,14.2,2.5,59.2
1996K1,28.0,13.8,19.3,2.5,63.7
1996K2,31.0,13.8,28.5,2.8,76.2
1996K3,31.1,14.2,41.5,2.8,89.6
1996K4,34.5,15.6,53.0,2.8,105.9
1997K1,34.7,14.8,63.8,2.8,116.1
1997K2,47.4,14.9,65.8,2.4,130.4
1997K3,47.3,15.2,63.2,2.4,128.1
1997K4,51.7,14.6,59.7,2.4,128.5
1998K1,52.0,14.7,51.1,2.4,120.1
1998K2,42.2,13.7,42.4,4.3,102.5
1998K3,42.4,11.8,32.8,4.3,91.4
1998K4,29.0,10.9,21.1,4.3,65.3
1999K1,29.2,9.5,10.3,4.3,53.3
1999K2,14.9,9.4,8.0,0.2,32.6
1999K3,14.9,9.7,20.1,0.2,44.8
1999K4,16.4,9.9,36.3,0.2,62.8
2000K1,16.2,10.8,68.3,0.2,95.5
2000K2,29.3,10.8,94.6,2.3,137.0
2000K3,29.7,10.6,114.4,2.3,157.1
2000K4,71.9,11.9,134.7,2.3,220.9
2001K1,72.1,11.6,140.9,2.3,226.9
2001K2,116.6,10.8,198.0,7.6,333.0
2001K3,116.0,10.5,181.9,7.6,316.0
2001K4,140.5,8.4,166.7,7.6,323.1
2002K1,139.9,7.5,151.7,7.6,306.7
2002K2,137.5,7.2,95.6,6.7,247.0
2002K3,137.8,6.9,102.0,6.7,253.5
2002K4,111.3,6.3,98.0,6.6,222.2
2003K1,112.2,6.1,99.8,6.6,224.6
2003K2,112.1,5.9,88.0,6.6,212.6
2003K3,112.1,5.5,85.3,6.6,209.5
2003K4,126.4,4.1,86.1,6.6,223.2
2004K1,126.6,3.5,86.1,6.6,222.9
2004K2,132.2,3.6,89.2,6.7,231.7
2004K3,132.1,3.1,93.3,6.7,235.2
2004K4,145.4,5.2,102.3,6.7,259.4
2005K1,144.7,5.7,105.7,6.7,262.7
2005K2,167.5,5.6,114.4,10.2,297.8
2005K3,167.8,6.1,119.7,10.2,303.9
2005K4,206.5,4.9,124.0,10.2,345.7
2006K1,207.5,5.3,141.0,10.2,364.0
2006K2,230.2,5.2,146.2,15.5,397.1
2006K3,231.1,5.1,152.9,15.5,404.5
2006K4,258.7,7.1,154.5,15.5,435.7
2007K1,256.1,6.7,145.7,15.5,424.0
2007K2,263.4,6.1,141.0,17.2,427.6
2007K3,261.7,6.4,135.6,17.2,420.8
2007K4,226.3,5.6,135.8,17.2,384.9
2008K1,227.9,6.1,146.1,17.2,397.2
2008K2,223.9,7.7,160.8,20.1,412.6
2008K3,280.9,7.3,173.3,20.1,481.6
2008K4,281.1,6.5,181.0,20.1,488.8
2009K1,322.0,5.4,172.5,20.1,520.0
2009K2,282.9,4.2,150.5,17.8,455.4
2009K3,250.1,3.9,129.5,17.8,401.3
2009K4,190.2,4.3,109.9,17.8,322.2
2010K1,173.3,4.1,106.9,17.8,302.2
2010K2,149.6,4.1,109.4,14.4,277.3
2010K3,160.0,3.9,111.4,14.4,289.7
2010K4,174.7,4.0,116.9,14.4,310.0
2011K1,183.1,4.0,119.5,14.4,321.0
2011K2,196.6,4.0,129.1,14.8,344.4
2011K3,208.5,4.0,136.4,14.8,363.7
2011K4,228.5,4.1,141.8,14.8,389.2
2012K1,237.4,4.2,152.6,14.8,408.9
2012K2,252.2,4.1,160.8,15.3,432.4
2012K3,251.2,4.1,162.2,15.3,432.8
2012K4,251.8,4.4,164.1,15.3,435.7
2013K1,249.4,4.3,154.9,15.3,423.9
2013K2,260.1,4.5,143.9,15.6,424.1
2013K3,248.6,4.6,141.7,15.6,410.5
2013K4,217.5,5.3,134.3,15.6,372.6
2014K1,211.7,5.4,135.7,15.6,368.3
2014K2,189.1,6.4,128.4,15.9,339.7
2014K3,184.7,6.5,116.5,19.9,327.6
2014K4,179.9,6.4,119.5,23.9,329.8
2015K1,171.1,6.6,110.3,28.0,315.9
2015K2,151.7,6.6,107.2,16.1,281.7
2015K3,140.5,6.5,105.1,16.0,268.1
2015K4,107.5,6.7,96.1,15.9,226.2
2016K1,94.8,6.7,87.0,16.0,204.5
2016K2,69.5,6.6,79.3,14.3,169.8
2016K3,60.2,6.7,74.2,12.5,153.6
2016K4,41.3,6.5,66.6,10.7,125.1
2017K1,38.9,6.4,69.9,6.6,121.9
