dato,Skatter på utvinning av petroleum,Avgifter på utvinning av petroleum,Netto kontantstrøm fra SDØE,Utbytte fra Statoil,Statens netto kontantstrøm fra petroleumsvirksomhet
1991K1,181,2358,1826,0,4365
1991K2,8616,2333,992,1500,13441
1991K3,245,2293,1057,0,3594
1991K4,12719,3349,2004,0,18072
1992K1,18,2077,920,0,3015
1992K2,5100,3079,1935,0,10114
1992K3,-5,1988,468,1400,3851
1992K4,9711,3516,298,0,13525
1993K1,35,2107,10,0,2152
1993K2,7583,3113,1171,1250,13117
1993K3,2,2004,-65,0,1940
1993K4,8320,3452,-958,0,10814
1994K1,0,1799,-995,0,804
1994K2,6577,2854,300,1075,10806
1994K3,0,1879,21,0,1900
1994K4,8628,2759,678,0,12065
1995K1,140,2209,2320,0,4669
1995K2,8089,2589,2859,1614,15151
1995K3,-28,1763,594,0,2329
1995K4,10441,2434,3486,0,16361
1996K1,-227,2217,5661,0,7651
1996K2,10135,2617,8905,1850,23507
1996K3,0,2057,9184,0,11241
1996K4,12922,3358,11209,0,27488
1997K1,-148,1767,13108,0,14727
1997K2,19012,2746,10445,1600,33802
1997K3,-68,2346,7684,0,9962
1997K4,16222,3022,9072,0,28316
1998K1,12,1842,7473,0,9326
1998K2,12693,2112,4692,2940,22437
1998K3,94,1142,1244,0,2480
1998K4,7291,2416,1091,0,10798
1999K1,100,942,98,0,1140
1999K2,2948,2061,3203,135,8347
1999K3,44,1364,9765,0,11173
1999K4,8599,2678,12684,0,23961
2000K1,-75,1605,23219,0,24749
2000K2,12567,2083,22383,1702,38735
2000K3,382,1286,24545,0,26213
2000K4,39927,3680,28069,0,71676
2001K1,61,1440,28637,0,30138
2001K2,46644,1618,66436,5734,120432
2001K3,-15,1099,13116,0,14200
2001K4,59091,2168,17194,12,78465
2002K1,-352,744,17632,0,18024
2002K2,45052,1397,24165,5045,75659
2002K3,232,935,18186,0,19352
2002K4,39991,1703,14504,0,56198
2003K1,353,620,19803,0,20776
2003K2,46034,1311,15549,5133,68027
2003K3,195,602,16487,0,17284
2003K4,51573,692,15310,0,67575
2004K1,576,143,19520,0,20239
2004K2,50749,1388,18075,5222,75434
2004K3,156,215,19900,0,20271
2004K4,62614,2301,22546,0,87461
2005K1,49,573,22395,0,23017
2005K2,69699,1301,25309,8139,104448
2005K3,396,636,24475,0,25507
2005K4,94737,1426,26409,0,122572
2006K1,825,874,36528,0,38227
2006K2,89874,1223,30187,12593,133877
2006K3,1105,559,30451,0,32115
2006K4,119703,3098,28357,0,151158
2007K1,-1247,626,29769,0,29148
2007K2,96156,703,26397,14006,137262
2007K3,-275,781,26114,0,26620
2007K4,91880,2529,28950,0,123359
2008K1,-3,1034,39483,0,40513
2008K2,95956,2106,39606,16940,154608
2008K3,48303,482,37998,0,86783
2008K4,95385,1905,36671,0,133961
2009K1,35201,124,33077,0,68401
2009K2,65001,1103,21729,15489,103322
2009K3,20637,199,20435,0,41271
2009K4,44395,2307,20098,0,66800
2010K1,21276,0,31410,0,52686
2010K2,45487,1061,24446,12818,83812
2010K3,30273,71,22627,0,52971
2010K4,58573,2427,25488,0,86488
2011K1,29067,47,34174,0,63288
2011K2,58338,1051,33459,13352,106200
2011K3,41430,103,29532,0,71065
2011K4,77101,2541,30608,0,110250
2012K1,37350,87,44222,0,81659
2012K2,72017,990,41009,13887,127903
2012K3,40669,123,30888,0,71680
2012K4,78635,2836,32770,0,114241
2013K1,35565,4,36295,0,71863
2013K2,83378,1148,31609,14421,130556
2013K3,31208,273,29756,0,61237
2013K4,51354,3507,26634,0,81495
2014K1,30892,105,38371,0,69368
2014K2,63626,2148,25306,14955,106035
2014K3,27720,291,19144,3845,51000
2014K4,47811,3571,30036,3846,85264
2015K1,23087,213,30304,3846,57449
2015K2,46367,2258,22938,3846,75408
2015K3,17419,176,17409,3846,38849
2015K4,16801,3838,22067,3846,46552
2016K1,11287,238,22298,4045,37868
2016K2,22793,2263,16076,2267,43399
2016K3,8700,272,12967,2229,24169
2016K4,-1687,3739,15114,2177,19343
