Tid,Ordinær skatt på utvinning av petroleum,Særskatt på utvinning av petroleum,Skatteinngang i alt
2009-08,6.7,11.5,62.5
2009-09,6.6,11.4,62.8
2009-10,5.8,10.0,59.7
2009-11,5.8,10.0,60.1
2009-12,5.1,8.6,57.9
2010-01,5.1,8.6,58.0
2010-02,4.7,7.9,56.7
2010-03,4.7,7.9,56.8
2010-04,4.4,7.3,55.1
2010-05,4.4,7.3,57.2
2010-06,4.2,6.8,56.4
2010-07,4.3,7.0,56.9
2010-08,4.4,7.2,57.1
2010-09,4.5,7.3,57.6
2010-10,4.6,7.5,57.9
2010-11,4.6,7.5,58.0
2010-12,4.9,8.0,58.8
2011-01,4.9,8.0,59.2
2011-02,5.2,8.4,60.1
2011-03,5.2,8.4,60.7
2011-04,5.3,8.7,61.5
2011-05,5.3,8.7,61.1
2011-06,5.6,9.1,61.7
2011-07,5.5,9.1,61.9
2011-08,5.9,9.6,62.9
2011-09,5.9,9.7,63.5
2011-10,6.2,10.2,64.8
2011-11,6.2,10.1,65.8
2011-12,6.5,10.6,66.6
2012-01,6.5,10.6,66.8
2012-02,6.8,11.1,67.6
2012-03,6.8,11.1,68.2
2012-04,7.0,11.4,68.9
2012-05,7.0,11.4,69.2
2012-06,7.2,11.8,69.8
2012-07,7.2,11.8,70.3
2012-08,7.2,11.9,70.5
2012-09,7.2,11.8,70.9
2012-10,7.2,11.9,71.1
2012-11,7.2,12.0,71.1
2012-12,7.2,11.9,70.9
2013-01,7.1,11.9,71.3
2013-02,7.1,11.9,71.1
2013-03,7.1,11.8,71.5
2013-04,7.5,12.5,72.5
2013-05,7.4,12.5,73.0
2013-06,7.4,12.5,73.0
2013-07,7.4,12.4,73.5
2013-08,7.1,11.9,72.7
2013-09,7.1,11.9,73.1
2013-10,6.9,11.5,72.7
2013-11,6.9,11.5,73.1
2013-12,6.3,10.4,71.5
2014-01,6.4,10.5,71.8
2014-02,6.2,10.2,71.7
2014-03,6.2,10.2,72.1
2014-04,5.7,9.3,70.7
2014-05,5.8,9.4,70.5
2014-06,5.7,9.1,70.1
2014-07,5.6,9.1,70.3
2014-08,5.5,8.9,70.0
2014-09,5.5,8.9,70.2
2014-10,5.4,8.7,69.5
2014-11,5.3,8.7,69.7
2014-12,5.4,8.8,69.9
2015-01,5.4,8.9,70.1
2015-02,5.1,8.4,69.1
2015-03,5.1,8.4,69.3
2015-04,4.8,8.0,68.6
2015-05,4.7,7.9,68.9
2015-06,4.5,7.6,68.3
2015-07,4.5,7.6,68.6
2015-08,4.2,7.0,67.8
2015-09,4.2,7.0,68.4
2015-10,3.9,6.5,67.5
2015-11,3.9,6.4,67.9
2015-12,3.3,5.3,66.3
2016-01,3.2,5.3,66.3
2016-02,2.9,4.7,65.5
2016-03,2.9,4.7,65.7
2016-04,2.6,4.1,64.5
2016-05,2.6,4.1,65.3
2016-06,2.2,3.5,64.2
2016-07,2.2,3.4,64.2
2016-08,1.9,3.0,63.7
2016-09,1.9,3.0,64.0
2016-10,1.6,2.5,63.3
2016-11,1.1,1.6,62.4
2016-12,1.3,2.1,63.0
2017-01,1.3,2.1,63.3
2017-02,1.2,1.9,63.0
2017-03,1.3,2.0,63.4
2017-04,1.2,1.9,63.3
2017-05,1.2,1.9,64.2
2017-06,1.1,1.7,63.9
2017-07,1.0,1.6,63.9
2017-08,1.2,2.0,64.5
2017-09,1.2,2.1,64.8
2017-10,1.4,2.5,65.3
2017-11,1.8,3.0,66.9
2017-12,2.0,3.4,67.6
2018-01,2.0,3.4,67.7
2018-02,2.2,3.8,68.5
2018-03,2.1,3.8,68.7
2018-04,2.3,4.2,69.5
2018-05,2.3,4.2,68.9
2018-06,2.5,4.5,69.5
