unit,tra_meas,tra_cov,schedule-time,geo,2017Q1,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
FLIGHT,CAF_PAS,INTL,N_SCHED,NO,2660,14520,15395,17595,19296,20147,18926,17228,16921,27179,27716,26276,20679,16983,16135,18936,16961,15850,11847,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,SCHED,NO,38474,178582,184046,194719,194343,179857,173106,161588,152133,163193,148347,142715,126174,124293,109688,102998,106345,104271,112458,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,TOT,NO,41134,193102,199441,212314,213639,200004,192032,178816,169054,190372,176063,168991,146853,141276,125823,121934,123308,120121,124305,:,:,:,:,:,:
FLIGHT,CAF_PAS,INTL,UNK,NO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,N_SCHED,NO,567,3551,3527,2316,2529,2722,3338,3120,3312,9570,10498,10889,7642,5977,5504,5233,2992,4855,1271,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,SCHED,NO,57966,235470,239702,228916,224218,223215,213492,206997,206936,235666,232275,231633,227534,226861,218929,214668,239394,230666,264766,:,:,:,:,:,:
FLIGHT,CAF_PAS,NAT,TOT,NO,58533,239021,243229,231232,226747,225937,216830,210117,210248,245236,242773,242522,235176,232838,224433,219901,242386,235521,266037,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,N_SCHED,NO,3227,18071,18922,19911,21825,22869,22264,20348,20233,36749,38214,37165,28321,22960,21639,24169,19953,20705,13118,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,SCHED,NO,96440,414052,423748,423635,418561,403072,386598,368585,359069,398859,380622,374348,353708,351154,328617,317666,345739,334937,377224,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,TOT,NO,99667,432123,442670,443546,440386,425941,408862,388933,379302,435608,418836,411513,382029,374114,350256,341835,365694,355642,390342,:,:,:,:,:,:
FLIGHT,CAF_PAS,TOTAL,UNK,NO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,:,:,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,N_SCHED,NO,1346,7202,7685,8850,9569,10149,9500,8688,8506,13572,13835,13077,10243,8459,8070,9506,8516,8184,6057,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,SCHED,NO,19261,89365,92025,97439,97238,90033,86660,80900,76178,81839,74304,71579,63204,62190,54877,51687,53358,52435,56779,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,INTL,TOT,NO,20607,96567,99710,106289,106807,100182,96160,89588,84684,95411,88139,84656,73447,70649,62947,61193,61874,60619,62836,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,N_SCHED,NO,394,2477,2595,2049,2177,2190,2718,2429,2552,9566,10493,10876,7608,5976,5507,5233,2940,3031,1271,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,SCHED,NO,53579,217136,220155,193557,189540,189082,180975,175422,175039,235676,232255,231546,227468,225003,218349,213946,233404,194238,264766,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,NAT,TOT,NO,53973,219613,222750,195606,191717,191272,183693,177851,177591,245242,242748,242422,235076,230979,223856,219179,236344,197269,266037,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,N_SCHED,NO,1740,9679,10280,10899,11746,12339,12218,11117,11058,23138,24328,23953,17851,14435,13577,14739,11456,11215,7328,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,SCHED,NO,72840,306501,312180,290996,286778,279115,267635,256322,251217,317515,306559,303125,290672,287193,273226,265633,286762,246673,321545,:,:,:,:,:,:
FLIGHT,CAF_PAS_ARR,TOTAL,TOT,NO,74580,316180,322460,301895,298524,291454,279853,267439,262275,340653,330887,327078,308523,301628,286803,280372,298218,257888,328873,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,INTL,N_SCHED,NO,1314,7318,7710,8745,9727,9998,9426,8540,8415,13607,13881,13199,10436,8524,8065,9430,8445,7666,5790,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,INTL,SCHED,NO,19213,89217,92021,97280,97105,89824,86446,80688,75955,81354,74043,71136,62970,62103,54811,51311,52987,51836,55679,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,INTL,TOT,NO,20527,96535,99731,106025,106832,99822,95872,89228,84370,94961,87924,84335,73406,70627,62876,60741,61432,59502,61469,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,NAT,N_SCHED,NO,416,2459,2627,2001,2130,2154,2707,2473,2627,9570,10497,10889,7615,5977,5501,5233,2945,3066,1271,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,NAT,SCHED,NO,53570,217149,220168,193618,189602,189134,180994,175443,175062,235663,232274,231632,227532,226860,218929,214666,233941,194635,264426,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,NAT,TOT,NO,53986,219608,222795,195619,191732,191288,183701,177916,177689,245233,242771,242521,235147,232837,224430,219899,236886,197701,265697,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,TOTAL,N_SCHED,NO,1730,9777,10337,10746,11857,12152,12133,11013,11042,23177,24378,24088,18051,14501,13566,14663,11390,10732,7061,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,TOTAL,SCHED,NO,72783,306366,312189,290898,286707,278958,267440,256131,251017,317017,306317,302768,290502,288963,273740,265977,286928,246471,320105,:,:,:,:,:,:
FLIGHT,CAF_PAS_DEP,TOTAL,TOT,NO,74513,316143,322526,301644,298564,291110,279573,267144,262059,340194,330695,326856,308553,303464,287306,280640,298318,257203,327166,:,:,:,:,:,:
PAS,PAS_BRD,INTL,N_SCHED,NO,314037,1909128,2045145,2311155,2616017,2522367,2270293,1973777,1930961,2495847,2612296,2538547,2119693,1745120,1744610,1936405,1892915,1745986,1475197,:,:,:,:,:,:
PAS,PAS_BRD,INTL,SCHED,NO,4273926,20657614,20423167,20119749,19117369,17324923,16049801,14624816,13054951,13025833,11906749,10638032,9346355,7944402,7433687,6167767,6488311,6481498,5942433,:,:,:,:,:,:
PAS,PAS_BRD,INTL,TOT,NO,4587963,22566742,22468312,22430904,21733386,19847290,18320094,16598593,14985912,15521680,14519045,13176579,11466048,9689522,9178297,8104172,8381226,8227484,7417630,:,:,:,:,:,:
PAS,PAS_BRD,INTL,UNK,NO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:
PAS,PAS_BRD,NAT,N_SCHED,NO,12370,66903,67889,71191,96808,63059,50755,42559,48434,56497,133433,199824,101174,62303,49605,52751,53262,43708,25517,:,:,:,:,:,:
PAS,PAS_BRD,NAT,SCHED,NO,3821031,15705868,15569862,15570797,15399296,15286723,14588297,13340568,13109344,13383746,13245144,12495892,11590585,11351563,10811920,10730191,11560016,11798046,10530906,:,:,:,:,:,:
PAS,PAS_BRD,NAT,TOT,NO,3833401,15772771,15637751,15641988,15496104,15349782,14639052,13383127,13157778,13440243,13378577,12695716,11691759,11413866,10861525,10782942,11613278,11841754,10556423,:,:,:,:,:,:
PAS,PAS_BRD,TOTAL,N_SCHED,NO,326407,1976031,2113034,2382346,2712825,2585426,2321048,2016336,1979395,2552344,2745729,2738371,2220867,1807423,1794215,1989156,1946177,1789694,1500714,:,:,:,:,:,:
PAS,PAS_BRD,TOTAL,SCHED,NO,8094957,36363482,35993029,35690546,34516665,32611646,30638098,27965384,26164295,26409579,25151893,23133924,20936940,19295965,18245607,16897958,18048327,18279544,16473339,:,:,:,:,:,:
PAS,PAS_BRD,TOTAL,TOT,NO,8421364,38339513,38106063,38072892,37229490,35197072,32959146,29981720,28143690,28961923,27897622,25872295,23157807,21103388,20039822,18887114,19994504,20069238,17974053,:,:,:,:,:,:
PAS,PAS_BRD,TOTAL,UNK,NO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:
PAS,PAS_BRD_ARR,INTL,N_SCHED,NO,153315,944430,1010940,1139378,1287570,1211222,1090305,944598,921986,1168495,1253605,1202483,991262,802821,825532,903547,885497,823232,714312,:,:,:,:,:,:
PAS,PAS_BRD_ARR,INTL,SCHED,NO,2152724,10364578,10225620,10092425,9593045,8683987,8017229,7287236,6521977,6473486,5845924,5210757,4595814,3838329,3721940,3030230,3188302,3202619,2974322,:,:,:,:,:,:
PAS,PAS_BRD_ARR,INTL,TOT,NO,2306039,11309008,11236560,11231803,10880615,9895209,9107534,8231834,7443963,7641981,7099529,6413240,5587076,4641150,4547472,3933777,4073799,4025851,3688634,:,:,:,:,:,:
PAS,PAS_BRD_ARR,NAT,N_SCHED,NO,10341,54360,58639,68237,94332,60552,47192,39879,45590,41774,103431,150983,68496,40516,37694,24928,33401,28085,26605,:,:,:,:,:,:
PAS,PAS_BRD_ARR,NAT,SCHED,NO,3733715,15358228,15215003,14749096,14564772,14472624,13823114,12631445,12396984,12809419,12638396,11803944,10871670,9960838,10032510,10284773,10893951,10792417,11002120,:,:,:,:,:,:
PAS,PAS_BRD_ARR,NAT,TOT,NO,3744056,15412588,15273642,14817333,14659104,14533176,13870306,12671324,12442574,12851193,12741827,11954927,10940166,10001354,10070204,10309701,10927352,10820502,11028725,:,:,:,:,:,:
PAS,PAS_BRD_ARR,TOTAL,N_SCHED,NO,163656,998790,1069579,1207615,1381902,1271774,1137497,984477,967576,1210269,1357036,1353466,1059758,843337,863226,928475,918898,851317,740917,:,:,:,:,:,:
PAS,PAS_BRD_ARR,TOTAL,SCHED,NO,5886439,25722806,25440623,24841521,24157817,23156611,21840343,19918681,18918961,19282905,18484320,17014701,15467484,13799167,13754450,13315003,14082253,13995036,13976442,:,:,:,:,:,:
PAS,PAS_BRD_ARR,TOTAL,TOT,NO,6050095,26721596,26510202,26049136,25539719,24428385,22977840,20903158,19886537,20493174,19841356,18368167,16527242,14642504,14617676,14243478,15001151,14846353,14717359,:,:,:,:,:,:
PAS,PAS_BRD_DEP,INTL,N_SCHED,NO,160722,964698,1034205,1171777,1328447,1311145,1179988,1029179,1008975,1327352,1358691,1336064,1128431,942299,919078,1032858,1007418,922754,760885,:,:,:,:,:,:
PAS,PAS_BRD_DEP,INTL,SCHED,NO,2121202,10293036,10197547,10027324,9524324,8640936,8032572,7337580,6532974,6552347,6060825,5427275,4750541,4106073,3711747,3137537,3300009,3278879,2968111,:,:,:,:,:,:
PAS,PAS_BRD_DEP,INTL,TOT,NO,2281924,11257734,11231752,11199101,10852771,9952081,9212560,8366759,7541949,7879699,7419516,6763339,5878972,5048372,4630825,4170395,4307427,4201633,3728996,:,:,:,:,:,:
PAS,PAS_BRD_DEP,NAT,N_SCHED,NO,10726,54994,59563,67724,92917,58937,47071,38681,46287,56497,133433,199824,101174,62303,49605,52751,52466,42467,25517,:,:,:,:,:,:
