date,value,12mms-mill
2002-12,1245560,18.6
2003-01,1279709,18.6
2003-02,1335493,18.7
2003-03,1527803,18.7
2003-04,1460000,18.6
2003-05,1606375,18.6
2003-06,1849558,18.7
2003-07,1680616,18.6
2003-08,1704614,18.6
2003-09,1672838,18.6
2003-10,1768968,18.6
2003-11,1584785,18.7
2003-12,1354331,18.8
2004-01,1342526,18.9
2004-02,1478343,19.0
2004-03,1711437,19.2
2004-04,1551695,19.3
2004-05,1658219,19.4
2004-06,2000968,19.5
2004-07,1746865,19.6
2004-08,1769243,19.6
2004-09,1591839,19.6
2004-10,1848664,19.6
2004-11,1499718,19.6
2004-12,1421902,19.6
2005-01,1313116,19.6
2005-02,1523450,19.6
2005-03,1484329,19.4
2005-04,1748267,19.6
2005-05,1922399,19.9
2005-06,476479,18.3
2005-07,735214,17.3
2005-08,1959665,17.5
2005-09,2035641,18.0
2005-10,2001461,18.1
2005-11,1785796,18.4
2005-12,1593133,18.6
2006-01,1587591,18.9
2006-02,1646394,19.0
2006-03,1962638,19.5
2006-04,1737539,19.4
2006-05,2118943,19.6
2006-06,2375216,21.5
2006-07,2213895,23.0
2006-08,2261801,23.3
2006-09,2194261,23.5
2006-10,2259537,23.7
2006-11,1993975,23.9
2006-12,1700716,24.1
2007-01,1765333,24.2
2007-02,1798150,24.4
2007-03,2154363,24.6
2007-04,2009873,24.8
2007-05,2299909,25.0
2007-06,2558287,25.2
2007-07,2400749,25.4
2007-08,2411925,25.5
2007-09,2459026,25.8
2007-10,2464218,26.0
2007-11,2215396,26.2
2007-12,1848402,26.4
2008-01,1933084,26.6
2008-02,2069411,26.8
2008-03,2222060,26.9
2008-04,2401662,27.3
2008-05,2401376,27.4
2008-06,2742985,27.6
2008-07,2580140,27.7
2008-08,2465194,27.8
2008-09,2540877,27.9
2008-10,2496958,27.9
2008-11,2048775,27.8
2008-12,1814633,27.7
2009-01,1819336,27.6
2009-02,1910723,27.4
2009-03,2217951,27.4
2009-04,2190037,27.2
2009-05,2357141,27.2
2009-06,2705750,27.1
2009-07,2656471,27.2
2009-08,2532496,27.3
2009-09,2532320,27.3
2009-10,2566977,27.4
2009-11,2240196,27.5
2009-12,1946221,27.7
2010-01,1935960,27.8
2010-02,2028942,27.9
2010-03,2398396,28.1
2010-04,1734707,27.6
2010-05,2583839,27.9
2010-06,2904892,28.1
2010-07,2959234,28.4
2010-08,2853185,28.7
2010-09,2809223,29.0
2010-10,2827636,29.2
2010-11,2391644,29.4
2010-12,2090791,29.5
2011-01,2096677,29.7
2011-02,2150526,29.8
2011-03,2569396,30.0
2011-04,2549220,30.8
2011-05,2877185,31.1
2011-06,3134770,31.3
2011-07,3180199,31.5
2011-08,2977648,31.7
2011-09,3016375,31.9
2011-10,3024297,32.1
2011-11,2575743,32.2
2011-12,2251486,32.4
2012-01,2252515,32.6
2012-02,2410988,32.8
2012-03,2798324,33.0
2012-04,2654649,33.2
2012-05,3063575,33.3
2012-06,3242581,33.4
2012-07,3457613,33.7
2012-08,3215461,34.0
2012-09,3207642,34.2
2012-10,3179052,34.3
2012-11,2754849,34.5
2012-12,2354976,34.6
2013-01,2353346,34.7
2013-02,2481438,34.8
2013-03,2787842,34.8
2013-04,2967096,35.1
2013-05,3200069,35.2
2013-06,3562969,35.5
2013-07,3794724,35.9
2013-08,3458703,36.1
2013-09,3393453,36.3
2013-10,3347082,36.5
2013-11,2826119,36.5
2013-12,2513523,36.7
2014-01,2495009,36.8
2014-02,2539066,36.9
2014-03,2957999,37.1
2014-04,3067109,37.2
2014-05,3256373,37.2
2014-06,3781196,37.4
2014-07,3832517,37.5
2014-08,3510699,37.5
2014-09,3448621,37.6
2014-10,3393742,37.6
2014-11,2809410,37.6
2014-12,2511454,37.6
2015-01,2424874,37.5
2015-02,2556072,37.6
2015-03,2932322,37.5
2015-04,2983248,37.4
2015-05,3274360,37.5
2015-06,3702865,37.4
2015-07,3860820,37.4
2015-08,3538347,37.4
2015-09,3460537,37.4
2015-10,3380538,37.4
2015-11,2861991,37.5
2015-12,2527078,37.5
2016-01,2463567,37.5
2016-02,2687167,37.7
2016-03,2985088,37.7
2016-04,2943188,37.7
2016-05,3330222,37.7
2016-06,3672794,37.7
2016-07,3779389,37.6
2016-08,3535817,37.6
2016-09,3441932,37.6
2016-10,3431930,37.7
2016-11,2848087,37.6
2016-12,2608365,37.7
2017-01,2559648,37.8
2017-02,2631931,37.8
2017-03,3089413,37.9
2017-04,3058976,38.0
2017-05,3362704,38.0
2017-06,3770376,38.1
