unit,tra_meas,tra_cov,schedule-time,geo,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,TOTAL,TOT,AT,27181511,26754007,26378676,25749724,25965977,25137612,23532455,21817267,23899584,22926104,20824533,19684822,18296612,15798652,14943765,7640394,7677070,:,6857432,6323148,5884800,5527894,4969408,4644439
PAS,PAS_CRD,TOTAL,TOT,BE,30115832,30958841,28776258,26389927,25919515,25102695,22697764,21316690,21983683,20805455,19154673,17813943,17468503,15095879,13558962,:,21594842,20002289,18481800,15923010,13354702,12505217,11235430,10028692
PAS,PAS_CRD,TOTAL,TOT,BG,9324217,7610949,7520697,7079292,6819103,6652007,6169323,5840825,6417992,6072357,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,CH,50505492,48026375,46127426,44217568,43236086,41439848,37615959,35928169,36595735,34537698,31829653,28876325,26567888,25676117,26747287,:,:,27007844,24741620,23375670,21329039,20501352,19357334,18139840
PAS,PAS_CRD,TOTAL,TOT,CY,8961817,7590787,7328546,7011437,7328300,7190387,6948288,6729787,7218084,7004315,6714102,6782521,6421198,6077403,:,6539766,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,CZ,13672362,12672004,12079873,11891812,11742352,12650532,12242386,12367467,13429149,13098141,12171235,11265764,9950314,7761268,6579480,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,DE,200687293,193936430,186445814,180783188,178591103,175316076,166130833,158148829,165758846,163784893,154090077,146102479,135909864,121181405,114383253,118186356,120691010,112191393,104533962,93978791,87901604,84943369,64555531,58845059
PAS,PAS_CRD,TOTAL,TOT,DK,32763142,30095505,29015810,27459709,26533265,25808694,24334852,22277524,24639072,24043172,22967560,22173770,21006048,361945,:,:,:,:,:,:,:,:,606937,270791
PAS,PAS_CRD,TOTAL,TOT,EE,2214989,2160978,2019806,1958565,2202427,1907569,1381062,1341294,1804430,1722505,1533132,1393105,990776,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,EL,45543371,42096402,39117833,34023934,32082336,33770739,32588072,33440269,35059804,35567225,32762340,30798527,29509262,28165427,:,:,30725465,27593971,24103793,18611962,17709200,19313135,20123470,17317040
PAS,PAS_CRD,TOTAL,TOT,ES,193872037,174652503,165354382,157731973,159771261,165153230,153387014,148318298,161400952,163523010,150599291,143679871,129771378,120238878,112237754,112936603,109971151,101326370,68767908,62173233,57052551,55025894,50552232,45274592
PAS,PAS_CRD,TOTAL,TOT,EU27,970697933,916483716,875231530,837399812,823049838,818145231,774555432,751855594,798625469,814427837,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,EU28,972692566,918249055,876983144,839066122,824759178,819727379,776047580,753231320,800080793,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,FI,18099954,17479246,17171931,16565391,16458815,16374398,14220636,13828812,14850682,14464575,13443365,12348113,11785244,10516364,10295754,:,10721453,9796432,9983372,6441657,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,FR,145257114,140867569,136360671,132762875,129764462,126013257,118697207,117636389,122960315,120037222,113189378,107964706,103042925,96295691,96533114,94390723,96366913,90729435,84621906,79333292,48976296,44652838,44131762,40715189
PAS,PAS_CRD,TOTAL,TOT,HR,7475463,6571698,6140797,5722447,5422632,4989236,4677414,4335208,4504677,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,HU,11668151,10228352,9054848,8441319,8429843,8884837,8174510,8081067,8429082,8580261,8245920,7918083,6380372,5010397,4468821,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,IE,32595709,29545020,26310826,24603640,23594089,23362889,23094210,26268887,30018287,29840020,27558133,24254298,20851353,:,18235186,17316121,16685717,15235311,13274833,12373093,9915730,9781040,8101297,16664742
PAS,PAS_CRD,TOTAL,TOT,IS,6801814,4847288,3853614,3199266,2740691,2462894,2036356,1837165,2240998,2462113,2278036,2111100,1888607,1561578,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,IT,134504974,127665221,121164587,115271926,116029388,116226667,109064953,101823772,105216903,106294258,95914382,87906438,81213565,73917022,65227580,60340601,:,:,35052392,53430518,48358178,44852540,26780183,23680153
PAS,PAS_CRD,TOTAL,TOT,LT,4787561,4227389,3798110,3482358,3166628,2691991,2282834,1867191,2552074,2195959,1799195,1434241,994161,721789,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,LU,2984242,2651751,2433966,2169327,1893991,1836780,1613696,1535261,1713217,1634465,1597404,1538152,1509069,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,LV,5384160,5145856,4802282,4782257,4754530,5098360,4655898,4062704,3687329,3155771,2488065,1872040,1056041,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,ME,1845464,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,MK,1649374,1452373,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,MT,5080446,4619557,4290032,4032029,3650347,3506814,3293548,2918676,3109899,2971368,2699870,2757240,2790121,2647642,2639805,2836131,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,NL,70317995,64570938,60963003,58077271,55680209,53895292,48618879,46479327,50419501,50502715,48584873,46433037,44493696,41168497,41875323,40671305,40626191,37454145,34856920,31835635,28045730,25544282,23649421,20989607
PAS,PAS_CRD,TOTAL,TOT,NO,37727546,37503052,37603195,36686364,34592225,32403522,29518449,27675619,27717155,26385631,24052506,18578950,19621419,18825090,18631949,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,PL,32266742,28907439,25714422,23274484,21800765,20635672,18383115,17046899,18727365,17120078,13737803,7080325,6091886,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,PT,40930044,36005814,32560621,29694146,28186254,27579707,25735500,24116313,25182901,24326238,22028195,20274653,18423155,17739078,17383237,17310534,19572269,14972855,13694126,12143767,11478794,11299367,10581802,8206870
PAS,PAS_CRD,TOTAL,TOT,RO,15153719,12580711,10907487,10016933,9674226,9687456,8848949,7984057,8031267,6908599,4900134,3493783,3192620,2717516,2414809,2360467,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,SE,35952558,34011263,32766043,31443225,30350849,29732247,26646764,25218784,27817350,26967253,25744721,20997169,19957013,:,:,:,:,:,:,:,:,:,:,1013272
PAS,PAS_CRD,TOTAL,TOT,SI,1404152,1436003,1307128,1265766,1167877,1358792,1382341,1423391,1648977,1504446,1327333,1217167,1046162,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,SK,2158261,1943656,1671290,1557149,1563197,1808187,1881844,1948361,2596334,2232411,2124447,1519452,1080945,625861,497007,414356,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,UK,248868873,232270437,220022122,210468980,203067015,201536753,192887734,198533970,213890470,217291360,211230640,204022904,192282712,177905268,168756893,163041375,162339818,151467129,142897783,114155365,104921402,100971029,95858948,86372686
