unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
PAS,PAS_CRD,NO_ENGM_NO_ENVA,Oslo,Trondheim,"[""NO_ENGM_NO_ENVA""]",1987743,1942761,1911712,1872478,1817731,1749184,1588995,1542642,1630407,1621288,1456330,1213590,1279201,1291815,1304716,,,
PAS,PAS_CRD,NO_ENGM_NO_ENBR,Oslo,Bergen,"[""NO_ENGM_NO_ENBR""]",1881726,1810781,1819220,1720519,1728386,1691634,1512429,1522030,1585465,1637429,1494195,1239568,1286934,1293282,1258696,,,
PAS,PAS_CRD,NO_ENGM_NO_ENZV,Oslo,Stavanger,"[""NO_ENGM_NO_ENZV""]",1563869,1515630,1564631,1534920,1517000,1434043,1276253,1257354,1355210,1302691,1182034,948325,993397,984975,971925,,,
PAS,PAS_CRD,NO_ENGM_DK_EKCH,Oslo,København,"[""NO_ENGM_DK_EKCH""]",1506326,1427618,1402753,1322769,1290909,1206480,1124765,1098041,1271857,1261799,1226612,1065652,1192504,1212821,1288163,,,
PAS,PAS_CRD,NO_ENGM_SE_ESSA,Oslo,Stockholm,"[""NO_ENGM_SE_ESSA""]",1387885,1338118,1354730,1204264,1187070,1153232,993791,955824,1030792,1038527,1010706,809236,839743,743465,811419,,,
PAS,PAS_CRD,NO_ENGM_NO_ENTC,Oslo,Tromsø,"[""NO_ENGM_NO_ENTC""]",1178188,1108686,1072669,1047881,1029944,954243,814036,790659,797054,802707,751378,591198,630499,617374,608910,,,
PAS,PAS_CRD,NO_ENGM_UK_EGSS,Oslo,London,"[""NO_ENGM_UK_EGKK"" ""NO_ENGM_UK_EGLL"" ""NO_ENGM_UK_EGSS""]",1055220,1049335,1031054,1010729,935212,877521,835382,784155,740778,728640,729901,598283,580074,620700,684851,,,
PAS,PAS_CRD,NO_ENGM_NO_ENBO,Oslo,Bodø,"[""NO_ENGM_NO_ENBO""]",809277,756986,749874,735803,735308,733791,641070,604625,627002,638414,584564,449998,489759,458501,445788,,,
PAS,PAS_CRD,NO_ENGM_NL_EHAM,Oslo,Amsterdam,"[""NO_ENGM_NL_EHAM""]",685098,639376,611515,601590,607970,589789,537126,532038,576037,579790,535381,434791,457996,450163,423099,,,
PAS,PAS_CRD,NO_ENGM_NO_ENAL,Oslo,Ålesund,"[""NO_ENGM_NO_ENAL""]",606046,589918,591266,599838,605239,585751,518824,482520,474894,468936,425822,364700,418583,380875,386224,,,
PAS,PAS_CRD,NO_ENGM_NO_ENEV,Oslo,Harstad,"[""NO_ENGM_NO_ENEV""]",579286,558013,558014,524771,519508,508159,473286,427838,424910,411744,377193,296611,329762,298464,286214,,,
PAS,PAS_CRD,NO_ENGM_NO_ENCN,Oslo,Kristiansand,"[""NO_ENGM_NO_ENCN""]",510597,498225,503120,494954,485779,492383,444752,449071,463550,423746,411280,354707,383256,370257,399963,,,
PAS,PAS_CRD,NO_ENGM_DE_EDDF,Oslo,Frankfurt,"[""NO_ENGM_DE_EDDF""]",475475,507588,475529,404105,450587,463735,430093,444408,423560,399980,347599,267651,317444,320551,282445,,,
PAS,PAS_CRD,NO_ENGM_FR_LFPO,Oslo,Paris,"[""NO_ENGM_FR_LFPG"" ""NO_ENGM_FR_LFPO""]",459142,452108,443448,406339,411830,411867,382561,380604,415789,416801,187165,133386,202947,295564,298615,,,
PAS,PAS_CRD,NO_ENGM_NO_ENHD,Oslo,Haugesund,"[""NO_ENGM_NO_ENHD""]",450566,437935,438262,434629,424181,421934,389658,364632,357814,339731,306884,234194,256860,260953,263641,,,
PAS,PAS_CRD,NO_ENGM_FI_EFHK,Oslo,Helsinki,"[""NO_ENGM_FI_EFHK""]",406888,387471,390179,363223,341094,322493,281511,240257,272477,252438,204270,171344,177480,166994,156927,,,
PAS,PAS_CRD,NO_ENGM_NO_ENML,Oslo,Molde,"[""NO_ENGM_NO_ENML""]",371564,370909,361716,342611,342331,335095,299863,252624,238951,271160,286662,223378,226710,214001,193581,,,
PAS,PAS_CRD,NO_ENGM_DE_EDDM,Oslo,München,"[""NO_ENGM_DE_EDDM""]",368343,330995,317973,307546,307311,298355,244836,246929,259338,264442,234414,160096,134695,110060,96013,,,
PAS,PAS_CRD,NO_ENGM_DE_EDDT,Oslo,Berlin,"[""NO_ENGM_DE_EDDB"" ""NO_ENGM_DE_EDDT""]",363026,338948,425694,382862,316229,289064,244720,136246,134102,121675,96936,,,,,,,
PAS,PAS_CRD,NO_ENGM_ES_LEAL,Oslo,Alicante,"[""NO_ENGM_ES_LEAL""]",321852,265624,248658,232050,197016,181764,180097,165000,174607,172483,139514,118336,171571,163780,124357,,,
PAS,PAS_CRD,NO_ENGM_ES_GCLP,Oslo,Gran Canaria,"[""NO_ENGM_ES_GCLP""]",315850,300106,314167,344152,303728,298659,246407,245395,220089,181146,178884,154242,128938,115113,115376,,,
PAS,PAS_CRD,NO_ENGM_IS_BIKF,Oslo,Reykjavík,"[""NO_ENGM_IS_BIKF""]",307804,300445,264531,249823,227650,191243,168423,159011,157215,162700,148290,98606,,,,,,
