unit,tra_meas,airp_pr,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
PAS,PAS_CRD,NO_ENAL_DK_EKCH,:,:,26089,25928,30117,24884,32435,21422,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAL_ES_GCLP,:,20519,24232,23429,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAL_ES_LEAL,23081,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAL_LT_EYVI,25864,29680,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAL_NL_EHAM,83887,93143,86663,56382,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAL_NO_ENBR,128992,134003,134174,141796,146883,130465,121938,121122,127627,131552,118169,94831,107474,111193,110367,:,:,:
PAS,PAS_CRD,NO_ENAL_NO_ENGM,605694,589559,591205,599215,605090,585156,518714,482398,474894,468936,425822,364700,418583,380875,386224,:,:,:
PAS,PAS_CRD,NO_ENAL_NO_ENVA,48780,50183,61392,66081,80032,69585,64072,57052,75232,80577,81248,68475,78789,79857,74106,:,:,:
PAS,PAS_CRD,NO_ENAL_NO_ENZV,:,:,:,:,:,:,:,:,28610,31282,51857,39860,44092,47485,44826,:,:,:
PAS,PAS_CRD,NO_ENAL_PL_EPGD,65693,66817,58170,36187,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAL_TR_LTAI,:,:,:,21033,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAL_UK_EGKK,:,23525,25505,23598,22424,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAT_NO_ENGM,169871,204852,196275,174681,162925,174042,190010,178958,227129,243418,242623,174099,178405,141629,113413,:,:,:
PAS,PAS_CRD,NO_ENAT_NO_ENSO,:,:,:,:,:,:,:,:,:,:,18602,18844,:,:,:,:,:,:
PAS,PAS_CRD,NO_ENAT_NO_ENTC,160567,139065,129511,135458,139149,132400,96722,104054,93668,96055,97672,84701,94929,102898,122682,:,:,:
