unit,tra_meas,airp_pr,from,to,codes,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
PAS,PAS_CRD,UK_EGLL_US_KJFK,London,New York,,2934554,3050499,2972463,3015311,2838673,2678991,2516580,2478787,2802748,2838837,2752033,2939555,2966029,2670541,2513629,2325539,2780833,2655248,2499582,2395936,2285118,2305379,1949355,1691288
PAS,PAS_CRD,UK_EGLL_AE_OMDB,London,Dubai,,2650543,2451738,2437719,2240260,1959418,1889513,1787496,1744960,1652060,1571472,1374451,1183023,1128671,950850,923045,870776,820549,591190,515297,471355,353187,322118,277026,191879
PAS,PAS_CRD,UK_EGLL_IE_EIDW,London,Dublin,,1750502,1682683,1650394,1663861,1577649,1556111,1493052,1620041,1811475,1974385,1991118,2089402,2096607,2034922,2108291,2033877,2235598,2131240,1894160,1765198,1717339,1704582,1663256,1674834
PAS,PAS_CRD,UK_EGLL_NL_EHAM,London,Amsterdam,,1616516,1587605,1486783,1443422,1429797,1407198,1332880,1509824,1709424,1799124,1846414,1894986,2005454,2051335,2050702,2136733,2369668,2247239,2106055,1961324,1852939,1832418,1742340,1628431
PAS,PAS_CRD,UK_EGLL_HK_VHHH,London,Hong Kong,,1574741,1584486,1563714,1381916,1386541,1412750,1385626,1528886,1493546,1453229,1416789,1257997,1275528,1020385,1113072,944099,992955,918796,929581,907609,913501,826483,801542,
PAS,PAS_CRD,UK_EGLL_US_KLAX,London,Los Angeles,,1529632,1518903,1354610,1339633,1313394,1298892,1188711,1235549,1460930,1405694,1429425,1382829,1345967,1180047,1261937,1258134,1463087,1406516,1298486,1176050,1086613,1085258,949715,969030
PAS,PAS_CRD,UK_EGLL_DE_EDDF,London,Frankfurt,,1493015,1530986,1506826,1497108,1482649,1469909,1266143,1201802,1272002,1450073,1513278,1530430,1531617,1458995,1518975,1440430,1525015,1584278,1542517,1425287,1355658,1308781,1178947,1141508
PAS,PAS_CRD,UK_EGKK_ES_LEBL,London,Barcelona,,1357077,1347990,1268246,1126330,743976,517773,375944,463244,542230,542607,561605,558102,544954,524708,436136,221199,170743,202082,158896,148744,87718,,,
PAS,PAS_CRD,UK_EGLL_ES_LEMD,London,Madrid,,1317124,1321559,1274714,1264821,1197667,1191170,1093420,1127202,1151930,1180303,1120427,1118874,1125893,1134606,1121903,1144138,1139425,907275,822262,764973,681470,615344,597816,573505
PAS,PAS_CRD,UK_EGKK_IE_EIDW,London,Dublin,,1306740,1083859,990348,976092,936552,922068,842258,1058002,1076197,882507,744992,626212,663973,691199,685828,771710,779013,619681,584368,506494,422121,339751,151035,
