YEAR,EKOFISK,STATFJORD,VALHALL,GULLFAKS,SNORRE,TROLL,OSEBERG,ÅSGARD,HEIDRUN,OTHERS_PRE_1990,OTHERS_POSTE_1990,OTHERS_POSTE_2000,JOHAN SVERDRUP,JOHAN CASTBERG
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1,0.0,0.0,0.0,0.0
1969,567.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1,0.0,0.0,0.0,0.0
1970,567.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.6,0.0,0.0,0.0,0.0
1971,566.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.1,0.0,0.0,0.0,0.0
1972,564.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.1,0.0,0.0,0.0,0.0
1973,562.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.2,0.0,0.0,0.0,0.0
1974,560.9,602.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.2,0.0,0.0,0.0,0.0
1975,549.9,602.3,162.6,0.0,0.0,0.0,0.0,0.0,0.0,384.2,0.0,0.0,0.0,0.0
1976,533.7,602.3,162.6,0.0,0.0,0.0,0.0,0.0,0.0,509.5,0.0,0.0,0.0,0.0
1977,517.8,602.3,162.6,0.0,0.0,0.0,0.0,0.0,0.0,550.9,0.0,0.0,0.0,0.0
1978,502.3,602.3,162.6,386.8,0.0,0.0,0.0,0.0,0.0,652.9,0.0,0.0,0.0,0.0
1979,488.7,602.0,162.6,386.8,314.8,311.2,412.4,0.0,0.0,643.0,0.0,0.0,0.0,0.0
1980,476.6,598.6,162.6,386.8,314.8,311.2,412.4,0.0,0.0,729.6,0.0,0.0,0.0,0.0
1981,466.6,590.6,162.6,386.8,314.8,311.2,412.4,163.5,0.0,857.5,0.0,0.0,0.0,0.0
1982,457.4,579.2,162.5,386.8,314.8,311.2,412.4,163.5,0.0,872.2,0.0,0.0,0.0,0.0
1983,448.0,560.2,161.5,386.8,314.8,311.2,412.4,163.5,0.0,919.8,0.0,0.0,0.0,0.0
1984,439.4,537.8,158.4,386.8,314.8,311.2,412.4,163.5,0.0,1174.4,0.0,0.0,0.0,0.0
1985,431.9,508.7,155.3,386.8,314.8,311.2,412.4,163.5,198.6,1168.8,0.0,0.0,0.0,0.0
1986,426.3,472.8,152.5,386.8,314.8,311.2,412.1,163.5,198.6,1332.3,0.0,0.0,0.0,0.0
1987,421.6,435.9,148.7,382.7,314.8,311.2,411.3,163.5,198.6,1429.9,0.0,0.0,0.0,0.0
1988,415.1,399.6,144.6,374.0,314.8,311.2,410.2,163.5,198.6,1430.1,0.0,0.0,0.0,0.0
1989,407.3,363.9,140.0,358.4,314.8,311.2,396.7,163.5,198.6,1417.2,0.0,0.0,0.0,0.0
1990,398.8,329.0,135.5,343.4,314.8,310.2,379.4,163.5,198.6,1399.0,51.9,0.0,0.0,0.0
1991,389.1,292.7,131.5,323.3,314.8,310.0,358.5,163.5,198.6,1376.8,204.0,0.0,0.0,0.0
1992,379.2,254.1,127.2,297.9,313.2,309.9,332.4,163.5,198.6,1353.7,334.3,0.0,0.0,0.0
1993,369.5,219.5,123.5,268.7,305.8,309.9,303.9,163.5,198.6,1329.0,344.7,0.0,0.0,0.0
1994,358.6,186.4,120.2,237.5,295.3,309.8,274.7,163.5,198.6,1291.5,423.0,0.0,0.0,0.0
1995,344.8,159.2,116.5,209.1,283.2,306.9,245.7,163.5,197.5,1241.6,435.5,0.0,0.0,0.0
1996,330.5,136.0,112.2,183.4,271.1,293.6,216.6,163.5,185.3,1188.3,446.6,0.0,0.0,0.0
1997,315.4,115.4,107.5,159.1,259.8,278.9,189.3,163.5,171.8,1131.0,499.5,0.0,0.0,0.0
1998,300.2,97.6,102.1,139.0,249.1,265.6,165.2,163.5,160.2,1074.3,566.4,0.0,0.0,0.0
1999,285.5,84.1,96.5,121.6,239.1,252.5,145.8,159.6,147.6,1012.6,557.3,0.0,0.0,0.0
2000,268.3,72.5,91.7,108.1,230.0,233.4,129.7,151.6,137.0,946.9,539.0,51.1,0.0,0.0
2001,251.2,61.7,87.1,97.4,217.5,213.2,117.8,141.3,126.6,878.2,518.7,62.0,0.0,0.0
2002,233.3,52.2,82.7,88.0,203.9,191.3,106.7,128.2,116.4,813.6,501.7,62.0,0.0,0.0
2003,215.5,43.8,78.4,78.3,189.6,168.9,96.5,113.4,107.1,753.0,484.6,93.6,0.0,0.0
2004,198.4,36.1,73.4,68.3,177.8,150.4,86.6,100.4,98.4,691.8,462.5,96.7,0.0,0.0
2005,182.0,29.7,68.3,59.8,168.5,135.0,78.0,88.8,90.1,634.0,438.6,97.5,0.0,0.0
2006,165.5,24.5,64.1,53.1,159.9,122.8,70.4,78.1,82.0,585.3,409.2,94.2,0.0,0.0
2007,151.8,19.4,60.5,47.3,151.5,112.0,64.0,67.2,75.8,539.1,381.5,133.0,0.0,0.0
2008,139.1,14.8,57.5,41.7,142.8,102.8,57.5,57.2,70.3,496.6,349.9,172.8,0.0,0.0
2009,127.4,11.6,55.2,36.9,136.7,93.9,51.3,46.9,65.6,457.8,314.8,175.1,0.0,0.0
2010,117.7,8.6,53.0,33.0,130.8,85.9,46.0,37.4,62.4,420.3,283.6,181.4,411.1,0.0
2011,109.0,6.3,51.2,30.3,125.2,77.7,40.9,28.6,58.7,385.2,252.3,181.3,411.1,88.9
2012,101.1,4.1,50.2,27.8,120.7,69.2,36.4,19.6,55.5,352.7,221.9,185.7,411.1,88.9
2013,94.5,1.5,48.4,25.2,115.6,60.9,32.2,12.6,52.0,322.9,193.1,188.3,411.1,88.9
2014,87.5,-1.4,46.0,23.0,109.9,52.3,28.4,5.8,49.1,289.7,165.3,193.2,411.1,88.9
2015,80.8,-4.7,43.5,21.0,103.6,44.0,24.2,-0.4,46.0,254.5,138.5,185.1,411.1,88.9
2016,74.5,-8.0,41.4,18.7,97.9,35.4,19.6,-6.5,42.5,220.1,114.2,174.8,411.1,88.9
2017,68.1,-10.6,39.6,16.6,93.0,26.6,14.9,-12.3,39.3,187.5,89.8,157.8,411.1,88.9
2018,62.0,-12.6,37.6,14.0,87.7,18.8,11.3,-17.5,36.3,157.3,67.8,140.3,411.1,88.9
