name,year,status,fldRecoverableLiquids,fldRecoverableGas
1/9-1 TOMMELITEN ALPHA,1977,:likely,39.8,80.4
15/5-2 EIRIN,1978,:likely,3.4,51.9
16/1-12 (Rolvsnes),2009,:clarification,33.1,2.8
16/1-14 (Apollo),2010,,6.4,0.3
16/2-3 (Ragnarock),2007,:not-evaluated,18.2,2.5
16/2-4,2007,:not-evaluated,13.4,1.1
16/2-5,2009,:not-evaluated,1.3,12.0
16/4-6 S (Luno II),2013,:clarification,40.3,8.8
2/12-1 MJØLNER,1987,:clarification,16.0,6.9
2/4-17 TJALVE,1992,:not-evaluated,3.7,5.3
2/4-21 (King Lear),2012,:likely,41.0,57.6
2/5-3 (Sørøst Tor),1972,:likely,19.5,5.5
24/9-10 S (Caterpillar),2011,:likely,7.4,0.6
25/11-27,2013,:clarification,27.4,0.0
25/2-10 S (Frigg-GammaDelta),1986,:clarification,60.6,14.6
25/2-18 S (Langfjellet),2016,:clarification,41.9,7.1
25/2-5 LILLE FRØY,1976,:likely,19.6,7.2
25/5-9 (Trell),2014,:clarification,13.4,0.0
25/8-4 (D-struktur),1992,:clarification,52.5,0.0
26/10-1 (Zulu Øst),2015,,0.0,15.7
30/11-8 S (Krafla),2011,:clarification,130.6,111.5
30/5-3 S (Corvus),2009,:likely,2.8,34.5
31/7-1 (Brasse),2016,:clarification,47.1,15.3
34/11-2 S (Nøkken),1996,:likely,12.3,32.9
34/12-1 (Afrodite),2008,:likely,9.7,58.0
34/4-11 (Beta),2010,:clarification,25.0,2.0
34/6-2 S (Garantiana),2012,:clarification,69.8,0.8
35/10-2,1996,:not-evaluated,3.5,17.6
35/11-18 (Syrah),2015,:not-evaluated,6.1,1.8
35/12-2 (Grosbeak),2009,,30.2,4.4
35/2-1 (Peon),2005,:likely,0.0,122.9
35/9-7 (Skarfjell),2012,:clarification,74.8,17.4
36/7-4 (Cara),2016,:clarification,22.0,24.8
6406/12-4 S (Boomerang),2015,:not-evaluated,20.1,1.9
6406/2-1 LAVRANS,1995,:clarification,20.1,58.7
6406/2-7 (Erlend),1999,:likely,7.0,6.4
6406/9-1 LINNORM,2005,:not-evaluated,3.6,153.2
6407/2-5 S (Nona),2009,:not-evaluated,18.7,8.2
6407/2-6 S (Flyndretind),2010,:clarification,3.1,12.0
6407/6-6 MIKKEL SØR,2008,:clarification,7.4,13.5
6407/7-8 (Noatun),2008,:likely,8.9,24.0
6407/7-9 A,2016,:not-evaluated,0.3,1.2
6407/7-9 S,2016,:not-evaluated,1.3,1.5
6506/11-2 (Lange),1991,:likely,3.8,1.5
6506/12-3 (Lysing),1985,:likely,4.8,1.5
6506/6-1 (Victoria),2000,:likely,0.0,168.5
6506/9-2 S (Fogelberg),2010,:clarification,13.2,46.7
6507/11-6 SIGRID,2001,:likely,4.3,12.1
6507/3-7 (Idun Nord),2009,:likely,0.8,3.8
6507/3-8 (Gjøk),2009,:clarification,2.1,8.8
6507/7-13,2001,:likely,5.7,0.3
