year,shut-down-produced,producing-produced,remaining-reserves,pdo-approved,decided-for-production,clarification,likely,not-evaluated
2017,1.0,29.8,3.4,2.1,0.6,0.9,0.7,0.1
2016,1.0,29.3,3.9,2.1,0.6,0.9,0.7,0.1
2015,1.0,28.5,4.7,2.1,0.6,0.8,0.7,0.1
2014,1.0,27.8,5.4,2.1,0.6,0.8,0.7,0.1
2013,1.0,27.1,6.1,2.1,0.6,0.6,0.7,0.1
2012,1.0,26.5,6.7,2.0,0.6,0.5,0.2,0.1
2011,1.0,25.8,7.4,2.0,0.6,0.4,0.2,0.1
2010,1.0,25.0,8.2,2.0,0.0,0.2,0.2,0.1
2009,0.9,24.2,8.8,0.2,0.0,0.2,0.2,0.1
2008,0.9,23.4,9.6,0.2,0.0,0.2,0.1,0.0
2007,0.9,22.5,10.2,0.2,0.0,0.2,0.1,0.0
2006,0.9,21.5,11.0,0.2,0.0,0.2,0.1,0.0
2005,0.8,20.5,12.0,0.2,0.0,0.2,0.1,0.0
2004,0.8,19.4,13.1,0.2,0.0,0.2,0.1,0.0
2003,0.8,18.3,14.2,0.2,0.0,0.2,0.1,0.0
2002,0.7,17.1,15.2,0.2,0.0,0.2,0.1,0.0
2001,0.7,15.9,16.4,0.2,0.0,0.2,0.1,0.0
2000,0.6,14.6,17.6,0.2,0.0,0.2,0.1,0.0
1999,0.6,13.4,18.6,0.2,0.0,0.2,0.1,0.0
1998,0.5,12.3,19.7,0.2,0.0,0.2,0.1,0.0
1997,0.5,11.1,20.4,0.2,0.0,0.2,0.1,0.0
1996,0.5,9.9,21.3,0.2,0.0,0.2,0.1,0.0
1995,0.5,8.8,22.4,0.2,0.0,0.2,0.1,0.0
1994,0.5,7.7,23.4,0.2,0.0,0.1,0.1,0.0
1993,0.4,6.7,23.8,0.2,0.0,0.1,0.1,0.0
1992,0.4,5.9,24.6,0.2,0.0,0.1,0.1,0.0
1991,0.4,5.1,24.8,0.2,0.0,0.1,0.1,0.0
1990,0.4,4.3,24.6,0.2,0.0,0.1,0.1,0.0
1989,0.4,3.7,24.9,0.2,0.0,0.1,0.1,0.0
1988,0.4,3.1,25.4,0.2,0.0,0.1,0.1,0.0
1987,0.4,2.7,25.7,0.2,0.0,0.1,0.1,0.0
1986,0.3,2.3,25.5,0.2,0.0,0.1,0.1,0.0
1985,0.3,2.0,24.8,0.1,0.0,0.0,0.1,0.0
1984,0.3,1.7,23.9,0.1,0.0,0.0,0.1,0.0
1983,0.3,1.4,22.5,0.1,0.0,0.0,0.1,0.0
1982,0.2,1.2,22.4,0.1,0.0,0.0,0.1,0.0
1981,0.2,1.0,22.5,0.1,0.0,0.0,0.1,0.0
1980,0.1,0.8,20.8,0.1,0.0,0.0,0.1,0.0
1979,0.1,0.6,20.3,0.1,0.0,0.0,0.1,0.0
1978,0.0,0.4,14.2,0.1,0.0,0.0,0.1,0.0
1977,0.0,0.3,11.3,0.0,0.0,0.0,0.1,0.0
1976,0.0,0.2,11.1,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.1,10.4,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
