date,prfPrdGasNetBillSm3
1972-12,0.000
1973-12,0.000
1974-12,0.000
1975-12,0.000
1976-12,0.000
1977-12,2.655
1978-12,14.201
1979-12,20.670
1980-12,25.088
1981-12,24.951
1982-12,23.960
1983-12,23.613
1984-12,25.963
1985-12,26.186
1986-12,26.090
1987-12,28.151
1988-12,28.330
1989-12,28.738
1990-12,25.479
1991-12,25.027
1992-12,25.834
1993-12,24.804
1994-12,26.842
1995-12,27.814
1996-12,37.398
1997-12,42.945
1998-12,44.195
1999-12,48.471
2000-12,49.796
2001-12,54.037
2002-12,65.594
2003-12,72.960
2004-12,79.179
2005-12,85.843
2006-12,88.669
2007-12,90.310
2008-12,100.111
2009-12,104.405
2010-12,107.265
2011-12,101.267
2012-12,114.723
2013-12,108.746
2014-12,108.820
2015-12,117.152
2016-12,116.650
2017-05,116.036
