date,0- 0 - 50,1- 50 - 60,2- 60 - 70,3- 70 - 80,4- 80 - 90,5- 90 - 100,sum
1971-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000
1971-07,0.0,0.0,0.0,0.0,0.0,0.0,0.034
1971-08,0.1,0.0,0.0,0.0,0.0,0.0,0.085
1971-09,0.1,0.0,0.0,0.0,0.0,0.0,0.150
1971-10,0.2,0.0,0.0,0.0,0.0,0.0,0.236
1971-11,0.3,0.0,0.0,0.0,0.0,0.0,0.294
1971-12,0.4,0.0,0.0,0.0,0.0,0.0,0.357
1972-01,0.4,0.0,0.0,0.0,0.0,0.0,0.404
1972-02,0.5,0.0,0.0,0.0,0.0,0.0,0.549
1972-03,0.7,0.0,0.0,0.0,0.0,0.0,0.722
1972-04,0.9,0.0,0.0,0.0,0.0,0.0,0.918
1972-05,1.1,0.0,0.0,0.0,0.0,0.0,1.117
1972-06,1.3,0.0,0.0,0.0,0.0,0.0,1.305
1972-07,1.5,0.0,0.0,0.0,0.0,0.0,1.474
1972-08,1.6,0.0,0.0,0.0,0.0,0.0,1.627
1972-09,1.7,0.0,0.0,0.0,0.0,0.0,1.735
1972-10,1.8,0.0,0.0,0.0,0.0,0.0,1.822
1972-11,1.9,0.0,0.0,0.0,0.0,0.0,1.866
1972-12,1.9,0.0,0.0,0.0,0.0,0.0,1.927
1973-01,2.1,0.0,0.0,0.0,0.0,0.0,2.065
1973-02,2.0,0.0,0.0,0.0,0.0,0.0,2.039
1973-03,2.1,0.0,0.0,0.0,0.0,0.0,2.073
1973-04,2.0,0.0,0.0,0.0,0.0,0.0,2.013
1973-05,2.0,0.0,0.0,0.0,0.0,0.0,2.004
1973-06,2.0,0.0,0.0,0.0,0.0,0.0,2.006
1973-07,2.0,0.0,0.0,0.0,0.0,0.0,1.974
1973-08,1.9,0.0,0.0,0.0,0.0,0.0,1.950
1973-09,2.0,0.0,0.0,0.0,0.0,0.0,1.971
1973-10,2.0,0.0,0.0,0.0,0.0,0.0,1.986
1973-11,2.0,0.0,0.0,0.0,0.0,0.0,1.977
1973-12,1.9,0.0,0.0,0.0,0.0,0.0,1.870
1974-01,1.7,0.0,0.0,0.0,0.0,0.0,1.694
