Date,1 AUD,100 BGN,1 BRL,1 CAD,100 CHF,100 CNY,100 CZK,100 DKK,1 EUR,1 GBP,1 HKD,100 HRK,100 HUF, I44,100 IDR,1 ILS,100 INR,100 JPY,100 KRW,1 LTL,100 MXN,1 MYR,1 NZD,100 PHP,100 PKR,1 PLN,100 RON,100 RUB,100 SEK,1 SGD,100 THB,100 TRY,100 TWD, TWI,1 USD,1 XDR,1 ZAR,100 BYR,1 BYN,100 BDT,100 MMK,100 ISK
1960-01,ND,ND,ND,7.5100,165.85,ND,ND,103.75,ND,20.0200,ND,ND,ND,ND,ND,ND,ND,1.9763,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.25,ND,ND,ND,ND,ND,7.1500,ND,ND,ND,ND,ND,ND,43.82
1960-02,ND,ND,ND,7.5100,165.35,ND,ND,103.70,ND,20.0300,ND,ND,ND,ND,ND,ND,ND,1.9763,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.35,ND,ND,ND,ND,ND,7.1500,ND,ND,ND,ND,ND,ND,18.77
1960-03,ND,ND,ND,7.5200,165.10,ND,ND,103.75,ND,20.0300,ND,ND,ND,ND,ND,ND,ND,1.9935,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.15,ND,ND,ND,ND,ND,7.1400,ND,ND,ND,ND,ND,ND,18.74
1960-04,ND,ND,ND,7.4500,164.75,ND,ND,103.60,ND,20.0200,ND,ND,ND,ND,ND,ND,ND,1.9707,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.35,ND,ND,ND,ND,ND,7.1300,ND,ND,ND,ND,ND,ND,18.72
1960-05,ND,ND,ND,7.3500,164.95,ND,ND,103.55,ND,20.0200,ND,ND,ND,ND,ND,ND,ND,1.9736,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.45,ND,ND,ND,ND,ND,7.1300,ND,ND,ND,ND,ND,ND,18.72
1960-06,ND,ND,ND,7.2600,165.95,ND,ND,103.65,ND,20.0100,ND,ND,ND,ND,ND,ND,ND,1.9806,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.55,ND,ND,ND,ND,ND,7.1400,ND,ND,ND,ND,ND,ND,18.74
1960-07,ND,ND,ND,7.3100,165.75,ND,ND,103.70,ND,20.0300,ND,ND,ND,ND,ND,ND,ND,1.9907,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.45,ND,ND,ND,ND,ND,7.1300,ND,ND,ND,ND,ND,ND,18.72
1960-08,ND,ND,ND,7.3500,166.05,ND,ND,103.70,ND,20.0400,ND,ND,ND,ND,ND,ND,ND,1.9907,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.55,ND,ND,ND,ND,ND,7.1300,ND,ND,ND,ND,ND,ND,18.72
1960-09,ND,ND,ND,7.3500,165.85,ND,ND,103.80,ND,20.0400,ND,ND,ND,ND,ND,ND,ND,1.9907,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.35,ND,ND,ND,ND,ND,7.1300,ND,ND,ND,ND,ND,ND,18.72
1960-10,ND,ND,ND,7.2900,165.75,ND,ND,103.70,ND,20.0400,ND,ND,ND,ND,ND,ND,ND,1.9907,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.25,ND,ND,ND,ND,ND,7.1300,ND,ND,ND,ND,ND,ND,18.72
1960-11,ND,ND,ND,7.3000,165.95,ND,ND,103.60,ND,20.0400,ND,ND,ND,ND,ND,ND,ND,1.9807,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.20,ND,ND,ND,ND,ND,7.1300,ND,ND,ND,ND,ND,ND,18.72
1960-12,ND,ND,ND,7.2800,166.05,ND,ND,103.75,ND,20.0300,ND,ND,ND,ND,ND,ND,ND,1.9935,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.25,ND,ND,ND,ND,ND,7.1400,ND,ND,ND,ND,ND,ND,18.74
1961-01,ND,ND,ND,7.1800,166.15,ND,ND,103.70,ND,20.0400,ND,ND,ND,ND,ND,ND,ND,1.9928,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.45,ND,ND,ND,ND,ND,7.1400,ND,ND,ND,ND,ND,ND,18.74
1961-02,ND,ND,ND,7.2200,165.75,ND,ND,103.65,ND,20.0300,ND,ND,ND,ND,ND,ND,ND,1.9963,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.55,ND,ND,ND,ND,ND,7.1500,ND,ND,ND,ND,ND,ND,18.77
1961-03,ND,ND,ND,7.2700,165.95,ND,ND,103.70,ND,20.0100,ND,ND,ND,ND,ND,ND,ND,1.9963,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.65,ND,ND,ND,ND,ND,7.1500,ND,ND,ND,ND,ND,ND,18.77
1961-04,ND,ND,ND,7.2500,165.75,ND,ND,103.65,ND,20.0100,ND,ND,ND,ND,ND,ND,ND,1.9763,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.55,ND,ND,ND,ND,ND,7.1500,ND,ND,ND,ND,ND,ND,18.77
1961-05,ND,ND,ND,7.2600,165.85,ND,ND,103.60,ND,20.0100,ND,ND,ND,ND,ND,ND,ND,1.9790,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.95,ND,ND,ND,ND,ND,7.1600,ND,ND,ND,ND,ND,ND,18.79
1961-06,ND,ND,ND,7.2400,166.15,ND,ND,103.65,ND,20.0000,ND,ND,ND,ND,ND,ND,ND,1.9818,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,139.00,ND,ND,ND,ND,ND,7.1700,ND,ND,ND,ND,ND,ND,18.82
1961-07,ND,ND,ND,6.9500,166.65,ND,ND,103.70,ND,20.0000,ND,ND,ND,ND,ND,ND,ND,1.9818,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,139.25,ND,ND,ND,ND,ND,7.1700,ND,ND,ND,ND,ND,ND,18.82
1961-08,ND,ND,ND,6.9300,165.75,ND,ND,103.70,ND,20.0100,ND,ND,ND,ND,ND,ND,ND,1.9763,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,138.75,ND,ND,ND,ND,ND,7.1500,ND,ND,ND,ND,ND,ND,16.60
1961-09,ND,ND,ND,6.9200,165.55,ND,ND,103.65,ND,20.0300,ND,ND,ND,ND,ND,ND,ND,1.9707,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,137.00,ND,ND,ND,ND,ND,7.1300,ND,ND,ND,ND,ND,ND,16.56
